model_name,km_driven,fuel_type,transmission,owner,price,link,engine_capacity
2012 Maruti Wagon R 1.0,88.76k km,Petrol,Manual,1st owner,₹2.19 lakh,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2012-cars-hyderabad-10279141744/,998cc
2016 Maruti Alto 800,17.92k km,Petrol,Manual,1st owner,₹2.66 lakh,https://www.cars24.com/buy-used-maruti-alto-800-2016-cars-hyderabad-10449048752/,796cc
2014 Maruti Ertiga,9.94k km,Petrol,Manual,1st owner,₹4.96 lakh,https://www.cars24.com/buy-used-maruti-ertiga-2014-cars-hyderabad-10444245725/,1373cc
2016 Tata Tiago,67.34k km,Petrol,Manual,2nd owner,₹3.55 lakh,https://www.cars24.com/buy-used-tata-tiago-2016-cars-hyderabad-10456644744/,1199cc
2023 Maruti New Wagon-R,30.39k km,Petrol,Manual,1st owner,₹5.30 lakh,https://www.cars24.com/buy-used-maruti-new-wagon-r-2023-cars-hyderabad-10449345726/,998cc
2021 Tata Tiago,57.50k km,Petrol,Auto,1st owner,₹5.90 lakh,https://www.cars24.com/buy-used-tata-tiago-2021-cars-hyderabad-10441846720/,1199cc
2024 Nissan MAGNITE,10.28k km,Petrol,Auto,1st owner,₹7.22 lakh,https://www.cars24.com/buy-used-nissan-magnite-2024-cars-hyderabad-10442048748/,
2016 Tata Zest,49.35k km,Petrol,Manual,2nd owner,₹3.47 lakh,https://www.cars24.com/buy-used-tata-zest-2016-cars-hyderabad-16856148734/,1193cc
2020 Renault Kwid,39.89k km,Petrol,Manual,1st owner,₹3.55 lakh,https://www.cars24.com/buy-used-renault-kwid-2020-cars-hyderabad-10427821705/,999cc
2014 Hyundai Xcent,1.0L km,Petrol,Manual,2nd owner,₹3.22 lakh,https://www.cars24.com/buy-used-hyundai-xcent-2014-cars-hyderabad-10450142728/,1197cc
2014 Honda Amaze,1.2L km,Petrol,Manual,1st owner,₹2.87 lakh,https://www.cars24.com/buy-used-honda-amaze-2014-cars-hyderabad-10401848745/,1198cc
2021 KIA SONET,22.96k km,Petrol,Manual,1st owner,₹7.51 lakh,https://www.cars24.com/buy-used-kia-sonet-2021-cars-hyderabad-10427541706/,1197cc
2016 Honda City,77.04k km,Petrol,Manual,1st owner,₹4.98 lakh,https://www.cars24.com/buy-used-honda-city-2016-cars-hyderabad-10469649701/,1497cc
2023 Renault TRIBER,19.32k km,Petrol,Manual,1st owner,₹6.14 lakh,https://www.cars24.com/buy-used-renault-triber-2023-cars-hyderabad-10463845738/,999cc
2022 Maruti S PRESSO,18.45k km,Petrol,Auto,1st owner,₹4.83 lakh,https://www.cars24.com/buy-used-maruti-s-presso-2022-cars-hyderabad-10474741742/,998cc
2023 Renault TRIBER,31.07k km,Petrol,Auto,1st owner,₹7.10 lakh,https://www.cars24.com/buy-used-renault-triber-2023-cars-hyderabad-10470740745/,999cc
2018 Hyundai Eon,99.80k km,Petrol,Manual,2nd owner,₹2.15 lakh,https://www.cars24.com/buy-used-hyundai-eon-2018-cars-hyderabad-10482640788/,814cc
2023 Tata NEXON,22.65k km,Petrol,Manual,1st owner,₹8.04 lakh,https://www.cars24.com/buy-used-tata-nexon-2023-cars-hyderabad-10490629762/,1199cc
2025 Tata PUNCH,1.05k km,Petrol,Manual,1st owner,₹7.67 lakh,https://www.cars24.com/buy-used-tata-punch-2025-cars-hyderabad-10489645741/,1199cc
2022 MG ASTOR,32.14k km,Petrol,Auto,1st owner,₹14.35 lakh,https://www.cars24.com/buy-used-mg-astor-2022-cars-hyderabad-10432029788/,1498cc
